시도,시군구,지방채,기타,국비,차관,세입수수료,지방비_분류,지방비,year
전남,영암군,0,0,0,0,736000,자체예산,4394360,2016
전남,무안군,0,0,1315625,0,1025000,자체예산,7900341,2016
전남,함평군,0,0,0,0,265000,자체예산,1905751,2016
전남,영광군,0,0,20090,0,516000,자체예산,684173,2016
전남,장성군,0,0,106500,0,474000,자체예산,3567307,2016
전남,완도군,0,0,2436,0,511000,자체예산,4655,2016
전남,진도군,0,0,0,0,231000,자체예산,4230210,2016
전남,신안군,0,0,1651840,0,169000,자체예산,3491557,2016
경북,경북,0,21673000,24681000,0,0,자체예산,0,2016
경북,포항시,0,0,21171500,0,11588000,자체예산,45150350,2016
경북,경주시,0,0,3000,0,4123000,자체예산,27089361,2016
경북,김천시,0,0,0,0,1267000,자체예산,5430011,2016
경북,안동시,0,0,451780,0,1941000,자체예산,16415123,2016
경북,구미시,0,0,14500,0,6713000,자체예산,38169494,2016
경북,영주시,0,0,51000,0,1147000,자체예산,7538139,2016
경북,영천시,0,0,28000,0,1337000,자체예산,8967860,2016
경북,상주시,0,0,107000,0,768000,자체예산,8965303,2016
경북,문경시,0,0,0,0,1036000,자체예산,12240114,2016
경북,경산시,0,0,129000,0,3616000,자체예산,22280767,2016
경북,의성군,0,0,60000,0,316000,자체예산,4514082,2016
경북,청송군,0,0,0,0,73000,자체예산,3215216,2016
경북,영양군,0,0,0,0,132000,자체예산,2106050,2016
경북,영덕군,0,0,36000,0,548000,자체예산,5016545,2016
경북,청도군,0,0,0,0,202000,자체예산,3000000,2016
경북,고령군,0,0,72000,0,342000,자체예산,2864631,2016
경북,성주군,0,0,634000,0,394000,자체예산,4511295,2016
경북,칠곡군,0,0,0,0,1466000,자체예산,7543650,2016
경북,예천군,0,0,50000,0,409000,자체예산,5284978,2016
경북,봉화군,0,0,0,0,321000,자체예산,2880842,2016
경북,울진군,0,0,20000,0,721000,자체예산,8295110,2016
경북,울릉군,0,0,0,0,74000,자체예산,3672720,2016
경남,경남,0,0,4158000,0,0,자체예산,0,2016
경남,창원시,0,0,2520000,0,29022000,자체예산,54311204,2016
경남,진주시,0,0,33320,0,6636000,자체예산,24799686,2016
경남,통영시,0,0,0,0,1179000,자체예산,21530067,2016
경남,사천시,0,0,592658,0,2345000,자체예산,12723260,2016
경남,김해시,0,0,0,0,9780000,자체예산,28062803,2016
경남,밀양시,0,0,67050,0,1790000,자체예산,9974504,2016
경남,거제시,0,0,3500,0,7327000,자체예산,17799395,2016
경남,양산시,0,0,717300,0,8617000,자체예산,29830246,2016
경남,의령군,0,0,10252,0,394000,자체예산,1087374,2016
경남,함안군,0,0,84826,0,1058000,자체예산,6844540,2016
경남,창녕군,0,0,0,0,865000,자체예산,2864054,2016
경남,고성군,0,0,0,0,792000,자체예산,4841537,2016
경남,남해군,0,0,266110,0,799000,자체예산,4553538,2016
경남,하동군,0,0,161256,0,561000,자체예산,5697320,2016
경남,산청군,0,0,0,0,566000,자체예산,2062474,2016
경남,함양군,0,0,18697,0,565000,자체예산,2064069,2016
경남,거창군,0,0,135000,0,950000,자체예산,6864124,2016
경남,합천군,0,0,0,0,545000,자체예산,0,2016
제주,제주,0,0,4829000,0,0,자체예산,0,2016
제주,제주시,0,0,0,0,15469000,자체예산,54765570,2016
제주,서귀포시,0,0,0,0,2442000,자체예산,25767563,2016
강원,강원,0,0,0,0,0,자체예산,0,2016
강원,춘천시,0,0,0,0,5363000,자체예산,27334287,2016
강원,원주시,0,0,0,0,9198000,자체예산,30876149,2016
강원,강릉시,0,0,378000,0,2889000,자체예산,23781858,2016
강원,동해시,0,0,299680,0,2550000,자체예산,13197123,2016
강원,태백시,0,0,139200,0,769000,자체예산,1397391,2016
강원,속초시,0,0,0,0,1897000,자체예산,406703,2016
강원,삼척시,0,0,251000,0,1200000,자체예산,9057338,2016
강원,홍천군,0,0,917160,0,1493000,자체예산,9616127,2016
강원,횡성군,0,0,42500,0,624000,자체예산,3821713,2016
강원,영월군,0,0,20000,0,460000,자체예산,5606279,2016
강원,평창군,0,0,0,0,654000,자체예산,5322921,2016
강원,정선군,0,0,0,0,506000,자체예산,1471561,2016
강원,철원군,0,0,739000,0,725000,자체예산,5488050,2016
강원,화천군,0,0,0,0,368000,자체예산,4610853,2016
강원,양구군,0,0,145300,0,434000,자체예산,2492906,2016
강원,인제군,0,0,0,0,847000,자체예산,1978923,2016
강원,고성군,0,0,17200,0,636000,자체예산,2926254,2016
강원,양양군,0,0,751540,0,810000,자체예산,5009210,2016
서울,서울,0,0,0,0,0,자체예산,154015034,2016
서울,종로구,0,0,0,0,9630000,자체예산,0,2016
서울,중구,0,0,0,0,11884000,자체예산,0,2016
서울,용산구,0,1822106,0,0,7801000,자체예산,0,2016
서울,성동구,0,0,0,0,10108000,자체예산,0,2016
서울,광진구,0,0,0,0,5770000,자체예산,0,2016
서울,동대문구,0,0,0,0,7623000,자체예산,0,2016
서울,중랑구,0,0,0,0,8194000,자체예산,0,2016
서울,성북구,0,0,0,0,7872000,자체예산,0,2016
서울,강북구,0,0,0,0,6845000,자체예산,0,2016
서울,도봉구,0,0,0,0,3900000,자체예산,0,2016
서울,노원구,0,0,0,0,9699000,자체예산,0,2016
서울,은평구,0,0,0,0,7852000,자체예산,0,2016
서울,서대문구,0,0,0,0,6041000,자체예산,0,2016
서울,마포구,0,0,0,0,9205000,자체예산,0,2016
서울,양천구,0,0,0,0,9126000,자체예산,0,2016
서울,강서구,0,10196530,0,0,10697000,자체예산,0,2016
서울,구로구,0,0,0,0,5349000,자체예산,0,2016
서울,금천구,0,0,0,0,4768000,자체예산,0,2016
서울,영등포구,0,0,0,0,8524000,자체예산,0,2016
서울,동작구,0,0,0,0,8140000,자체예산,0,2016
서울,관악구,0,0,0,0,8752000,자체예산,0,2016
서울,서초구,0,0,0,0,12557000,자체예산,0,2016
서울,강남구,0,0,0,0,15023000,자체예산,0,2016
서울,송파구,0,0,0,0,16625000,자체예산,0,2016
서울,강동구,0,0,0,0,7869000,자체예산,0,2016
부산,부산,2000000,0,0,0,18792844,자체예산,59550226,2016
부산,중구,0,0,0,0,1593000,자체예산,0,2016
부산,서구,0,0,0,0,1963000,자체예산,0,2016
부산,동구,0,0,0,0,1953000,자체예산,0,2016
부산,영도구,0,0,0,0,2286000,자체예산,0,2016
부산,부산진구,0,0,0,0,7061000,자체예산,0,2016
부산,동래구,0,0,0,0,4518000,자체예산,0,2016
