시도,시군구,소속기관,인원장비,관리인원or장비_대수,year
인천,서구,자치단체,차량(대),0,2016
인천,강화군,자치단체,차량(대),21,2016
인천,옹진군,자치단체,차량(대),18,2016
광주,동구,자치단체,차량(대),1,2016
광주,서구,자치단체,차량(대),18,2016
광주,남구,자치단체,차량(대),12,2016
광주,북구,자치단체,차량(대),51,2016
광주,광산구,자치단체,차량(대),45,2016
대전,동구,자치단체,차량(대),20,2016
대전,중구,자치단체,차량(대),13,2016
대전,서구,자치단체,차량(대),7,2016
대전,유성구,자치단체,차량(대),2,2016
대전,대덕구,자치단체,차량(대),8,2016
울산,중구,자치단체,차량(대),20,2016
울산,남구,자치단체,차량(대),22,2016
울산,동구,자치단체,차량(대),16,2016
울산,북구,자치단체,차량(대),20,2016
울산,울주군,자치단체,차량(대),0,2016
세종,세종특별자치시,자치단체,차량(대),47,2016
경기,수원시,자치단체,차량(대),180,2016
경기,성남시,자치단체,차량(대),38,2016
경기,의정부시,자치단체,차량(대),4,2016
경기,안양시,자치단체,차량(대),17,2016
경기,부천시,자치단체,차량(대),4,2016
경기,광명시,자치단체,차량(대),3,2016
경기,평택시,자치단체,차량(대),0,2016
경기,동두천시,자치단체,차량(대),10,2016
경기,안산시,자치단체,차량(대),151,2016
경기,고양시,자치단체,차량(대),4,2016
경기,과천시,자치단체,차량(대),26,2016
경기,구리시,자치단체,차량(대),10,2016
경기,남양주시,자치단체,차량(대),0,2016
경기,오산시,자치단체,차량(대),19,2016
경기,시흥시,자치단체,차량(대),116,2016
경기,군포시,자치단체,차량(대),8,2016
경기,의왕시,자치단체,차량(대),18,2016
경기,하남시,자치단체,차량(대),44,2016
경기,용인시,자치단체,차량(대),20,2016
경기,파주시,자치단체,차량(대),162,2016
경기,이천시,자치단체,차량(대),8,2016
경기,안성시,자치단체,차량(대),41,2016
경기,김포시,자치단체,차량(대),0,2016
경기,화성시,자치단체,차량(대),75,2016
경기,광주시,자치단체,차량(대),26,2016
경기,양주시,자치단체,차량(대),3,2016
경기,포천시,자치단체,차량(대),2,2016
경기,여주시,자치단체,차량(대),54,2016
경기,연천군,자치단체,차량(대),29,2016
경기,가평군,자치단체,차량(대),12,2016
경기,양평군,자치단체,차량(대),49,2016
충북,청주시,자치단체,차량(대),183,2016
충북,충주시,자치단체,차량(대),15,2016
충북,제천시,자치단체,차량(대),19,2016
충북,보은군,자치단체,차량(대),1,2016
충북,옥천군,자치단체,차량(대),2,2016
충북,영동군,자치단체,차량(대),11,2016
충북,증평군,자치단체,차량(대),2,2016
충북,진천군,자치단체,차량(대),4,2016
충북,괴산군,자치단체,차량(대),9,2016
충북,음성군,자치단체,차량(대),4,2016
충북,단양군,자치단체,차량(대),18,2016
충남,천안시,자치단체,차량(대),101,2016
충남,공주시,자치단체,차량(대),32,2016
충남,보령시,자치단체,차량(대),3,2016
충남,아산시,자치단체,차량(대),9,2016
충남,서산시,자치단체,차량(대),12,2016
충남,논산시,자치단체,차량(대),11,2016
충남,계룡시,자치단체,차량(대),7,2016
충남,당진시,자치단체,차량(대),8,2016
충남,금산군,자치단체,차량(대),16,2016
