,자치단체_인원(명),자치단체_차량(대),자가처리_중장비(대),처리업체_중장비(대),자치단체_손수레(대),구분_시군구,처리업체_인원(명),총계_중장비(대),자가처리_손수레(대),총계_인원(명),처리업체_차량(대),자치단체_중장비(대),자가처리_인원(명),처리업체_손수레(대),자가처리_차량(대),총계_차량(대),총계_손수레(대),구분_시도
124,22,7,0,0,0,계룡시,0,1,0,22,0,1,0,0,0,7,0,충남
125,136,8,0,0,0,당진시,61,4,0,197,25,4,0,0,0,33,0,충남
126,51,16,0,0,0,금산군,0,2,0,51,0,2,0,0,0,16,0,충남
127,4,4,0,1,0,부여군,78,3,0,82,15,2,0,13,0,19,13,충남
128,76,21,0,0,12,서천군,0,4,0,76,0,4,0,0,0,21,12,충남
129,36,18,0,0,17,청양군,0,2,0,36,0,2,0,0,0,18,17,충남
130,98,24,0,0,0,홍성군,0,2,0,98,0,2,0,0,0,24,0,충남
131,55,20,0,0,0,예산군,6,4,0,61,3,4,0,0,0,23,0,충남
132,23,25,0,0,0,태안군,22,0,0,45,7,0,0,5,0,32,5,충남
133,187,42,0,2,106,전주시,389,4,0,576,166,2,0,112,0,208,218,전북
134,41,16,0,0,0,군산시,281,1,0,322,68,1,0,92,0,84,92,전북
135,240,51,0,4,114,익산시,84,7,0,324,29,3,0,10,0,80,124,전북
136,58,16,0,3,26,정읍시,45,8,0,103,10,5,0,15,0,26,41,전북
137,92,35,0,0,0,남원시,0,0,0,92,0,0,0,0,0,35,0,전북
138,75,26,0,0,0,김제시,0,2,0,75,0,2,0,0,0,26,0,전북
139,53,17,0,0,0,완주군,13,1,0,66,10,1,0,0,0,27,0,전북
140,34,12,0,0,5,진안군,0,2,0,34,0,2,0,0,0,12,5,전북
141,38,12,0,0,16,무주군,0,1,0,38,0,1,0,0,0,12,16,전북
142,31,13,0,0,14,장수군,5,1,0,36,1,1,0,0,0,14,14,전북
143,41,9,0,0,10,임실군,0,1,0,41,0,1,0,0,0,9,10,전북
144,34,14,0,0,10,순창군,0,1,0,34,0,1,0,0,0,14,10,전북
145,58,26,0,0,0,고창군,0,3,0,58,0,3,0,0,0,26,0,전북
146,82,20,0,0,25,부안군,0,5,0,82,0,5,0,0,0,20,25,전북
147,163,34,0,0,89,목포시,23,0,0,186,10,0,0,0,0,44,89,전남
148,0,0,0,0,0,여수시,248,0,0,248,48,0,0,0,0,48,0,전남
149,144,23,0,0,25,순천시,88,2,0,232,32,2,0,0,0,55,25,전남
150,104,26,0,0,4,나주시,11,3,0,115,0,3,0,0,0,26,4,전남
151,0,0,0,0,0,광양시,116,0,0,116,23,0,0,38,0,23,38,전남
152,53,18,0,0,3,담양군,0,0,0,53,0,0,0,0,0,18,3,전남
153,35,13,0,0,0,곡성군,0,2,0,35,0,2,0,0,0,13,0,전남
154,35,7,0,0,6,구례군,0,0,0,35,0,0,0,0,0,7,6,전남
155,66,35,0,0,3,고흥군,0,7,0,66,0,7,0,0,0,35,3,전남
156,53,17,0,0,18,보성군,0,1,0,53,0,1,0,0,0,17,18,전남
157,68,16,0,0,10,화순군,0,1,0,68,0,1,0,0,0,16,10,전남
158,45,19,0,0,15,장흥군,0,0,0,45,0,0,0,0,0,19,15,전남
159,43,12,0,0,1,강진군,0,2,0,43,0,2,0,0,0,12,1,전남
160,75,26,0,0,14,해남군,0,4,0,75,0,4,0,0,0,26,14,전남
161,56,19,0,0,14,영암군,0,1,0,56,0,1,0,0,0,19,14,전남
162,56,16,0,0,35,무안군,6,0,0,62,3,0,0,0,0,19,35,전남
163,25,13,0,0,0,함평군,0,1,0,25,0,1,0,0,0,13,0,전남
164,41,19,0,0,0,영광군,0,2,0,41,0,2,0,0,0,19,0,전남
165,37,16,0,0,0,장성군,0,0,0,37,0,0,0,0,0,16,0,전남
166,83,18,0,0,8,완도군,0,2,0,83,0,2,0,0,0,18,8,전남
167,69,14,0,0,22,진도군,0,3,0,69,0,3,0,0,0,14,22,전남
168,57,22,0,0,28,신안군,0,0,0,57,0,0,0,0,0,22,28,전남
169,312,66,0,0,2,포항시,62,10,0,374,25,10,0,0,0,91,2,경북
170,154,36,0,0,37,경주시,77,8,0,231,36,8,0,0,0,72,37,경북
171,74,15,0,0,0,김천시,16,0,0,90,10,0,0,0,0,25,0,경북
172,90,22,0,0,0,안동시,33,4,0,123,19,4,0,0,0,41,0,경북
173,225,47,0,0,0,구미시,125,0,0,350,41,0,0,0,0,88,0,경북
174,40,20,0,0,30,영주시,42,0,0,82,15,0,0,8,0,35,38,경북
175,93,32,0,0,10,영천시,0,2,0,93,0,2,0,0,0,32,10,경북
176,127,40,0,0,31,상주시,0,1,0,127,0,1,0,0,0,40,31,경북
177,74,16,0,0,50,문경시,0,3,0,74,0,3,0,0,0,16,50,경북
178,98,47,0,3,0,경산시,50,3,0,148,0,0,0,0,0,47,0,경북
179,25,7,0,0,9,의성군,28,3,0,53,15,3,0,9,0,22,18,경북
180,33,11,0,0,19,청송군,0,1,0,33,0,1,0,0,0,11,19,경북
181,30,8,0,0,11,영양군,0,1,0,30,0,1,0,0,0,8,11,경북
182,59,16,0,0,0,영덕군,0,7,0,59,0,7,0,0,0,16,0,경북
183,39,9,0,0,5,청도군,9,1,0,48,9,1,0,0,0,18,5,경북
184,8,2,0,0,0,고령군,20,0,0,28,8,0,0,3,0,10,3,경북
185,34,2,0,0,7,성주군,24,3,0,58,8,3,0,0,0,10,7,경북
186,33,7,0,0,0,칠곡군,54,2,0,87,21,2,0,0,0,28,0,경북
187,56,22,0,0,0,예천군,0,1,0,56,0,1,0,0,0,22,0,경북
188,11,3,0,0,0,봉화군,38,3,0,49,18,3,0,16,0,21,16,경북
189,84,14,0,0,0,울진군,0,2,0,84,0,2,0,0,0,14,0,경북
190,36,8,0,0,1,울릉군,0,2,0,36,0,2,0,0,0,8,1,경북
191,152,58,0,0,100,창원시,484,7,0,636,241,7,0,45,0,299,145,경남
192,288,103,0,0,2,진주시,0,5,0,288,0,5,0,0,0,103,2,경남
193,69,7,0,0,0,통영시,87,4,0,156,14,4,0,0,0,21,0,경남
194,74,28,0,0,19,사천시,12,4,0,86,6,4,0,1,0,34,20,경남
195,17,5,0,2,0,김해시,296,2,0,313,127,0,0,76,0,132,76,경남
196,29,10,0,0,0,밀양시,43,2,0,72,27,2,0,0,0,37,0,경남
197,52,17,0,0,0,거제시,96,8,0,148,100,8,0,0,0,117,0,경남
198,193,84,0,0,2,양산시,0,2,0,193,0,2,0,0,0,84,2,경남
199,40,10,0,0,20,의령군,0,1,0,40,0,1,0,0,0,10,20,경남
200,29,4,0,0,0,함안군,35,1,0,64,15,1,0,9,0,19,9,경남
201,30,6,0,0,10,창녕군,29,30,0,59,28,30,0,0,0,34,10,경남
202,43,16,0,0,6,고성군,0,1,0,43,0,1,0,0,0,16,6,경남
203,38,14,0,0,3,남해군,18,4,0,56,3,4,0,0,0,17,3,경남
204,58,18,0,0,0,하동군,0,0,0,58,0,0,0,0,0,18,0,경남
205,44,9,0,0,8,산청군,0,3,0,44,0,3,0,0,0,9,8,경남
206,40,12,0,0,22,함양군,0,2,0,40,0,2,0,0,0,12,22,경남
207,0,5,0,1,0,거창군,45,5,0,45,31,4,0,11,0,36,11,경남
208,37,22,0,0,33,합천군,0,0,0,37,0,0,0,0,0,22,33,경남
209,263,126,0,0,0,제주시,0,0,0,263,0,0,0,0,0,126,0,제주
210,152,66,0,0,0,서귀포시,0,0,0,152,0,0,0,0,0,66,0,제주
211,133,24,0,0,0,춘천시,99,0,0,232,49,0,0,0,0,73,0,강원
212,262,154,0,0,115,원주시,0,0,0,262,0,0,0,0,0,154,115,강원
213,160,21,0,0,92,강릉시,138,4,0,298,91,4,0,0,0,112,92,강원
214,97,21,0,0,50,동해시,30,3,0,127,15,3,0,0,0,36,50,강원
215,55,11,0,0,7,태백시,15,6,0,70,15,6,0,0,0,26,7,강원
216,66,12,0,0,45,속초시,26,3,0,92,14,3,0,0,0,26,45,강원
217,81,20,0,0,22,삼척시,21,6,0,102,13,6,0,0,0,33,22,강원
218,26,7,0,0,0,홍천군,46,2,0,72,14,2,0,0,0,21,0,강원
219,35,1,0,0,30,횡성군,32,3,0,67,22,3,0,0,0,23,30,강원
220,39,21,0,0,0,영월군,9,0,0,48,3,0,0,0,0,24,0,강원
221,39,13,0,0,0,평창군,0,0,0,39,0,0,0,0,0,13,0,강원
222,55,17,0,0,25,정선군,0,1,0,55,0,1,0,0,0,17,25,강원
223,30,14,0,0,0,철원군,27,6,0,57,4,6,0,0,0,18,0,강원
224,20,3,0,0,0,화천군,19,3,0,39,8,3,0,0,0,11,0,강원
225,24,7,0,0,0,양구군,0,0,0,24,0,0,0,0,0,7,0,강원
226,44,21,0,0,0,인제군,0,4,0,44,0,4,0,0,0,21,0,강원
227,83,18,0,0,0,고성군,30,3,0,113,15,3,0,0,0,33,0,강원
228,34,18,0,0,0,양양군,0,1,0,34,0,1,0,0,0,18,0,강원
