,재활용가능자원 분리배출_종이류,종량제에 의한 혼합배출_가연성_음식물채소류,재활용가능자원 분리배출_기타,재활용가능자원 분리배출_전자제품,종량제에 의한 혼합배출_가연성_플라스틱류,종량제에 의한 혼합배출_불연성_소계,종량제에 의한 혼합배출_소계,재활용가능자원 분리배출_발포수지류,총계,재활용가능자원 분리배출_영농폐기물,종량제에 의한 혼합배출_불연성_토사류,재활용가능자원 분리배출_가구류,재활용가능자원 분리배출_기타(배출불명 등),음식물류 배출(분리배출 지역일 경우),재활용가능자원 분리배출_형광등,종량제에 의한 혼합배출_가연성_소계,재활용가능자원 분리배출_소계,구분_시군구,재활용가능자원 분리배출_폐식용유,종량제에 의한 혼합배출_가연성_고무피혁류,재활용가능자원 분리배출_윤활유,재활용가능자원 분리배출_전지류,재활용가능자원 분리배출_의류,종량제에 의한 혼합배출_가연성_기타,재활용가능자원 분리배출_합성수지류,종량제에 의한 혼합배출_가연성_나무류,재활용가능자원 분리배출_고철류,종량제에 의한 혼합배출_가연성_종이류,재활용가능자원 분리배출_플라스틱류,종량제에 의한 혼합배출_불연성_금속류,재활용가능자원 분리배출_캔류,발생량및처리현황,종량제에 의한 혼합배출_불연성_기타,재활용가능자원 분리배출_유리병류,종량제에 의한 혼합배출_불연성_유리류,재활용가능자원 분리배출_타이어,구분_시도
182,0.0,0.0,0.0,0.0,7.2,0.0,31.9,0.0,33.5,0.0,0.0,0.0,0.0,1.6,0.0,31.9,0.0,북구,0.0,2.2,0.0,0.0,0.0,9.8,0.0,1.5,0.0,11.2,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,대구
183,38.1,0.0,0.0,0.6,9.5,15.5,46.4,0.4,272.5,0.0,0.6,0.0,0.0,113.1,28.9,30.9,113.0,북구,1.0,1.2,0.0,0.8,5.5,1.7,6.8,0.0,5.2,18.5,6.0,3.5,7.2,재활용,2.7,12.5,8.7,0.0,대구
184,17.7,14.2,0.9,1.9,42.7,13.3,172.1,0.4,390.3,0.0,0.9,9.4,0.0,118.3,0.5,158.8,99.9,수성구,0.2,1.9,0.0,0.0,5.0,28.4,17.6,4.3,13.7,67.3,11.0,6.3,9.0,발생량,2.2,12.6,3.9,0.0,대구
185,0.0,8.0,0.0,0.0,24.0,7.5,96.9,0.0,96.9,0.0,0.5,0.0,0.0,0.0,0.0,89.4,0.0,수성구,0.0,1.1,0.0,0.0,0.0,16.0,0.0,2.4,0.0,37.9,0.0,3.6,0.0,매립,1.2,0.0,2.2,0.0,대구
186,0.0,3.0,0.0,0.0,9.0,2.8,36.3,0.0,36.3,0.0,0.2,0.0,0.0,0.0,0.0,33.5,0.0,수성구,0.0,0.4,0.0,0.0,0.0,6.0,0.0,0.9,0.0,14.2,0.0,1.3,0.0,소각,0.5,0.0,0.8,0.0,대구
187,17.7,3.2,0.9,1.9,9.7,3.0,38.9,0.4,257.1,0.0,0.2,9.4,0.0,118.3,0.5,35.9,99.9,수성구,0.2,0.4,0.0,0.0,5.0,6.4,17.6,1.0,13.7,15.2,11.0,1.4,9.0,재활용,0.5,12.6,0.9,0.0,대구
188,36.3,0.0,38.2,0.1,32.3,107.1,240.3,6.3,548.4,0.0,0.7,0.0,0.0,149.8,0.4,133.2,158.3,달서구,0.1,5.3,0.1,0.1,2.7,52.4,19.8,12.4,15.7,30.8,10.2,3.5,10.0,발생량,101.1,18.2,1.8,0.1,대구
189,0.0,0.0,0.0,0.0,14.5,48.3,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,달서구,0.0,1.3,0.0,0.0,0.0,26.2,0.0,7.0,0.0,8.7,0.0,1.3,0.0,매립,47.0,0.0,0.0,0.0,대구
190,0.0,0.0,0.0,0.0,11.2,55.9,96.3,0.0,96.3,0.0,0.5,0.0,0.0,0.0,0.0,40.4,0.0,달서구,0.0,2.5,0.0,0.0,0.0,17.2,0.0,3.2,0.0,6.3,0.0,1.0,0.0,소각,53.8,0.0,0.6,0.0,대구
191,36.3,0.0,38.2,0.1,6.6,2.9,38.0,6.3,346.1,0.0,0.2,0.0,0.0,149.8,0.4,35.1,158.3,달서구,0.1,1.5,0.1,0.1,2.7,9.0,19.8,2.2,15.7,15.8,10.2,1.2,10.0,재활용,0.3,18.2,1.2,0.1,대구
