,처리업체_소계,총계_소각,자가처리_재활용,자치단체_매립,자치단체_해역배출,자가처리_해역배출,처리업체_매립,구분_시군구,자가처리_소각,자치단체_소계,자가처리_매립,자치단체_소각,총계_매립,자치단체_재활용,처리업체_소각,총계_계,자가처리_소계,처리업체_재활용,총계_해역배출,총계_재활용,처리업체_해역배출,구분_시도
75,2218.9,207.0,26.5,0.2,0,0,680.1,울주군,0.5,107.1,8.5,106.9,688.8,0.0,99.6,2361.5,35.5,1439.2,0.0,1465.7,0.0,울산
76,896.7,232.7,42.9,0.0,0,0,190.0,세종특별자치시,161.8,0.0,7.5,0.0,197.5,0.0,70.9,1108.9,212.2,635.8,0.0,678.7,0.0,세종
77,466.9,9.5,0.0,0.0,0,0,46.2,수원시,3.9,0.0,0.0,0.0,46.2,0.0,5.6,470.8,3.9,415.1,0.0,415.1,0.0,경기
78,443.6,174.0,0.0,0.0,0,0,73.4,성남시,0.0,0.0,0.0,0.0,73.4,0.0,174.0,443.6,0.0,196.2,0.0,196.2,0.0,경기
79,169.1,6.1,0.0,0.0,0,0,31.6,의정부시,0.0,72.6,0.0,0.9,31.6,71.7,5.2,241.7,0.0,132.3,0.0,204.0,0.0,경기
80,331.7,5.8,0.0,0.0,0,0,59.3,안양시,0.0,0.0,0.0,0.0,59.3,0.0,5.8,331.7,0.0,266.6,0.0,266.6,0.0,경기
81,145.4,15.1,0.0,0.0,0,0,33.9,부천시,0.0,0.0,0.0,0.0,33.9,0.0,15.1,145.4,0.0,96.4,0.0,96.4,0.0,경기
82,55.2,5.8,0.0,0.0,0,0,8.1,광명시,0.0,0.0,0.0,0.0,8.1,0.0,5.8,55.2,0.0,41.3,0.0,41.3,0.0,경기
83,1605.3,136.7,0.0,0.0,0,0,138.4,평택시,0.0,0.0,0.0,0.0,138.4,0.0,136.7,1605.3,0.0,1330.2,0.0,1330.2,0.0,경기
84,624.6,37.9,0.0,0.0,0,0,305.9,동두천시,0.0,0.0,0.0,0.0,305.9,0.0,37.9,624.6,0.0,280.8,0.0,280.8,0.0,경기
85,1612.8,494.1,186.0,0.0,0,0,585.3,안산시,303.0,0.0,0.0,0.0,585.3,0.0,191.1,2101.8,489.0,836.4,0.0,1022.4,0.0,경기
86,672.0,196.8,0.0,0.0,0,0,128.7,고양시,0.0,0.0,0.0,0.0,128.7,0.0,196.8,672.0,0.0,346.5,0.0,346.5,0.0,경기
87,16.5,0.0,0.0,10.3,0,0,1.1,과천시,0.0,10.3,0.0,0.0,11.4,0.0,0.0,26.8,0.0,15.4,0.0,15.4,0.0,경기
88,23.6,77.7,0.0,16.3,0,0,2.2,구리시,71.5,16.3,0.0,0.0,18.5,0.0,6.2,111.4,71.5,15.2,0.0,15.2,0.0,경기
89,977.5,13.0,0.0,0.0,0,0,247.6,남양주시,0.8,0.0,1.8,0.0,249.4,0.0,12.2,980.1,2.6,717.7,0.0,717.7,0.0,경기
90,348.1,50.9,84.8,0.0,0,0,105.9,오산시,31.4,0.0,0.0,0.0,105.9,0.0,19.5,464.3,116.2,222.7,0.0,307.5,0.0,경기
91,827.7,92.6,0.0,0.0,0,0,273.5,시흥시,0.0,0.0,0.0,0.0,273.5,0.0,92.6,827.7,0.0,461.6,0.0,461.6,0.0,경기
92,162.4,8.9,0.0,0.0,0,0,52.4,군포시,0.0,0.0,0.0,0.0,52.4,0.0,8.9,162.4,0.0,101.1,0.0,101.1,0.0,경기
93,40.5,2.5,0.0,0.0,0,0,2.4,의왕시,0.0,0.0,0.0,0.0,2.4,0.0,2.5,40.5,0.0,35.6,0.0,35.6,0.0,경기
94,25.9,0.6,0.0,0.0,0,0,3.2,하남시,0.0,0.0,0.0,0.0,3.2,0.0,0.6,25.9,0.0,22.1,0.0,22.1,0.0,경기
95,1328.1,170.9,0.0,0.0,0,0,140.3,용인시,0.0,0.0,0.0,0.0,140.3,0.0,170.9,1328.1,0.0,1016.9,0.0,1016.9,0.0,경기
96,986.0,22.1,0.0,0.0,0,0,180.3,파주시,0.0,0.0,0.0,0.0,180.3,0.0,22.1,986.0,0.0,783.6,0.0,783.6,0.0,경기
97,776.9,141.6,0.0,0.0,0,0,74.9,이천시,0.0,0.0,0.0,0.0,74.9,0.0,141.6,776.9,0.0,560.4,0.0,560.4,0.0,경기
98,11.4,54.2,516.3,0.0,0,0,1.3,안성시,54.2,0.0,38.8,0.0,40.1,0.0,0.0,620.7,609.3,10.1,0.0,526.4,0.0,경기
99,858.5,53.6,0.4,0.0,0,0,261.6,김포시,0.0,0.0,0.0,0.0,261.6,0.0,53.6,858.9,0.4,543.3,0.0,543.7,0.0,경기
100,1657.6,112.2,51.3,6.0,0,0,132.9,화성시,13.4,41.9,7.0,5.3,145.9,30.6,93.5,1771.2,71.7,1431.2,0.0,1513.1,0.0,경기
101,227.7,34.8,0.0,0.0,0,0,54.2,광주시,0.0,0.0,0.0,0.0,54.2,0.0,34.8,227.7,0.0,138.7,0.0,138.7,0.0,경기
102,812.6,28.9,213.5,141.2,0,0,132.9,양주시,0.0,144.8,0.0,3.6,274.1,0.0,25.3,1170.9,213.5,654.4,0.0,867.9,0.0,경기
103,1540.0,62.9,0.0,0.0,0,0,243.7,포천시,0.0,0.0,0.0,0.0,243.7,0.0,62.9,1540.0,0.0,1233.4,0.0,1233.4,0.0,경기
104,112.0,6.7,0.0,0.0,0,0,10.4,여주시,2.1,0.0,0.0,0.0,10.4,0.0,4.6,114.1,2.1,97.0,0.0,97.0,0.0,경기
105,217.2,9.0,0.2,20.0,0,0,22.5,연천군,0.4,24.4,10.0,4.4,52.5,0.0,4.2,252.2,10.6,190.5,0.0,190.7,0.0,경기
106,24.1,5.1,2.4,0.0,0,0,0.0,가평군,0.0,0.0,0.0,0.0,0.0,0.0,5.1,26.5,2.4,19.0,0.0,21.4,0.0,경기
107,47.4,26.3,0.0,0.0,0,0,1.7,양평군,0.0,0.0,0.0,0.0,1.7,0.0,26.3,47.4,0.0,19.4,0.0,19.4,0.0,경기
108,3424.1,1059.3,0.0,0.0,0,0,586.8,청주시,0.0,0.0,0.0,0.0,586.8,0.0,1059.3,3424.1,0.0,1778.0,0.0,1778.0,0.0,충북
109,335.6,38.5,0.0,0.0,0,0,53.7,충주시,0.0,0.0,0.0,0.0,53.7,0.0,38.5,335.6,0.0,243.4,0.0,243.4,0.0,충북
110,386.3,7.6,0.0,0.0,0,0,0.5,제천시,0.0,0.0,0.0,0.0,0.5,0.0,7.6,386.3,0.0,378.2,0.0,378.2,0.0,충북
111,49.2,1.1,0.0,0.0,0,0,8.0,보은군,0.0,0.0,0.0,0.0,8.0,0.0,1.1,49.2,0.0,40.1,0.0,40.1,0.0,충북
112,50.3,1.9,1.2,0.0,0,0,13.6,옥천군,0.0,0.0,0.0,0.0,13.6,0.0,1.9,51.5,1.2,34.8,0.0,36.0,0.0,충북
113,81.3,7.2,0.0,4.3,0,0,24.3,영동군,0.0,4.3,0.0,0.0,28.6,0.0,7.2,85.6,0.0,49.8,0.0,49.8,0.0,충북
114,52.4,4.7,0.0,0.0,0,0,4.8,증평군,0.0,0.0,0.0,0.0,4.8,0.0,4.7,52.4,0.0,42.9,0.0,42.9,0.0,충북
